code	urn	db_name	phase_name	lat	lon	status	note
2565	123063	Dry Sandford Primary School	Primary	51.70224986222178	-1.3221891567443367	done	done 2026-08-10 (fake-grid backlog session) - turned out to be a GENUINE grid template after all, not fake: this file uses the rural OS Explorer-style 1:25000 basemap sub-variant (contour lines, dashed footpaths, National Trust-green diamond symbols) with a much PALER cyan grid line that oxon_lib.py's narrow cyan_mask_broad()/reconcile_grid_period() correctly detects (px=py=660, confirmed_grid_line_fraction 1.0/1.0) even though the strict narrow mask used by sweep.py's original triage check scored 0.00 - same paler-cyan-on-rural-basemap pattern already documented in oxon_lib.py for other rescued schools (Kidmore End, Hornton, etc.), just not previously checked for this school. Digitised via the standard grid pipeline (marker-anchored real-world scale from the confirmed 660px/1km grid spacing), not landmark-pairing. Target's own marker is a BLACK star icon (not blue), same quirk as Dunmore/Long Furlong elsewhere in this project. Area 4.91km2, DB coordinate contained, traced ring visually overlaid pixel-accurate against the source page.
2578	145649	Fir Tree Junior School	Primary	51.60264210258183	-1.1369631562540718	done	Landed 2026-08-09 (second landmark-pair session): anchored on own marker + the explicitly-labelled 'Slade End Roundabout' (Nominatim, 1070m baseline), cross-checked against the explicitly-labelled 'Hithercroft Roundabout' (777m baseline) - 4.34deg residual, 0.995 dist ratio
2589	123074	Wood Farm Primary School	Primary	51.751427834526766	-1.2012318927064132	declined_or_open	Wood Farm Primary - attempted 2026-08-09 (second session): only nearby named landmark is Churchill Hospital, a large sprawling multi-wing complex (same unreliable-anchor problem as Fitzharrys/John Mason below) - abandoned before committing to an anchor point, needs a different landmark idea (New Marston Primary or an unlabelled 'Sch' icon top of page, unconfirmed)
2595	123080	Carswell Community Primary School	Primary	51.67031395195533	-1.290419133639144	done	Landed 2026-08-09 (second landmark-pair session): anchored on own marker + Marcham Road Interchange roundabout (Nominatim, 1430m baseline), cross-checked against Caldecott Primary's real DB coordinate (650m baseline) - 4.61deg residual, 1.053 dist ratio
2598	144871	Thameside Primary School	Primary	51.66162846541269	-1.293431822702622	declined_or_open	Thameside Primary - not directly attempted 2026-08-09, but its DB coordinate was used (and failed) as a Caldecott cross-check - see Caldecott's note. Worth trying independently with its own anchor pair rather than reusing that result
2602	123085	Long Furlong Primary School	Primary	51.68793928873674	-1.2775148904932592	done	done via long-baseline landmark-pair scaling, 2026-08-10 session - Tilsley Park athletics track (Overpass) + A415/Dunmore Road roundabout, 2901px/1008m baseline, rotation 2.77deg, DB coord cross-check -2.01deg/0.973 ratio. This file's marker is drawn in BLACK not blue (found via manual colour mask), same quirk as Dunmore Primary elsewhere in this file
2605	123087	Caldecott Primary School	Primary	51.66477532413316	-1.2934118081630743	declined_or_open	Caldecott Primary - attempted 2026-08-09 (second session): Marcham Road Interchange roundabout anchor (1892px/1274m baseline) gave a plausible-looking 6.15deg rotation, but cross-check against Thameside Primary's real DB coordinate (350m baseline) gave an 18deg bearing residual despite a clean ~1.0 distance ratio (distance-right-direction-wrong) - tried multiple roundabout pixel readings and both candidate OSM interchange sub-ways, none resolved it. Needs a fundamentally different landmark next session, not the same interchange
2608	130962	Langford Village Community Primary School	Primary	51.890963338395494	-1.1389508551852634	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (later re-attempt): Bicester North/Bicester Village stations turned out not visible on this map's extent, so used "Stone Circle" roundabout + A4421/Gavray Drive roundabout instead (2109px/1275m baseline), rotation -0.10deg, DB coord cross-check 0.88deg/0.991 ratio - a very clean result once measured on a genuinely long baseline rather than the short/miscalibrated pairs tried earlier this session
2609	139750	Ladygrove Park Primary School	Primary	51.61575963537174	-1.2409647646376505	done	Landed 2026-08-09 (second landmark-pair session): anchored on own marker + Didcot Parkway railway station (Nominatim, 516m baseline), cross-checked against an OSM roundabout on the A4130 near Ladygrove Farm (600m baseline) - 1.49deg residual, 1.007 dist ratio
2610	132057	Bure Park Primary School	Primary	51.90921041946871	-1.1569187713372098	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (later re-attempt): Bicester North/Bicester Village stations not visible on this map's extent either (Bure Park is in north Bicester, a different area from the Longfields/Glory Farm cluster) - used the A4095 roundabout + a Betony Way-area mini-roundabout instead (1298px/690m baseline), rotation -2.86deg, DB coord cross-check 5.86deg/0.945 ratio (similar magnitude to this project's accepted Longfields precedent, judged ordinary marker slop not a broken transform - real coordinate does fall inside the polygon)
2613	133532	St John the Evangelist CofE VA Primary School	Primary	51.769829060388524	-1.5858170579577686	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3004	144187	Wroxton Church of England Primary School	Primary	52.07206498756908	-1.4012990343379574	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3022	144872	St Mary's Church of England Primary School, Banbury	Primary	52.064811763005025	-1.3394287646977514	declined_or_open	attempted 2026-08-10: map covers most of Banbury (Hardwick to town centre), rich in named landmarks (Holman Bridge, Water Works roundabout at the A361/A422 junction, Hardwick Community School's own building visible on this map too). Hardwick-building + Water-Works-roundabout pair (1264m baseline) gave a near-perfect 0.10deg rotation, but cross-checking against St Mary's own marker/DB coordinate failed badly (11.4deg residual, 0.57 distance ratio - computed distance only 57% of the real 2.66km separation). The reverse pairing (Hardwick + St Mary's marker as the base transform) also gave a bad rotation (-11.3deg) cross-checked against the roundabout. Neither combination is self-consistent; left undone rather than forced - needs a fresh landmark idea or a check for map tile-stitching distortion given how large this particular map is (~5km extent)
3128	142152	North Leigh Church of England School	Primary	51.812985127281294	-1.438143883329126	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (fake-grid backlog batch): North Leigh Roman Villa (Overpass historic=archaeological_site) + Eynsham Hall conference centre building (1615px/3162m baseline), rotation 1.11deg, own marker/DB coord cross-check -0.49deg/1.001 ratio - an exceptionally clean result
3141	123115	Bletchingdon Parochial Church of England Primary School	Primary	51.85654637390173	-1.275225145016763	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3206	123136	Stoke Row CofE Primary School	Primary	51.55006760715995	-1.0232857083925204	declined_or_open	Stoke Row CofE Primary - real OS grid but only 0.00/0.14 confirmed_grid_line_fraction, too obscured by village content/woodland tinting
3207	142508	St Mary's Church of England Infant School	Primary	51.78222276230739	-1.4844347786940537	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3211	123140	St Andrew's Church of England Primary School, Oxford	Primary	51.760464271627995	-1.2092444144140808	fake_grid_confirmed	fake_grid_confirmed - re-attempted 2026-08-10 (fake-grid backlog session): per this project's rule against using the target's own marker as one of the two scale-deriving anchors, re-derived the transform from Green Road Roundabout (Overpass junction=circular average of 11 approach ways) + Headington Quarry Nursery/First School's marker (971px baseline - a bit short) instead. Cross-checked against the target's own marker/DB coord: bearing residual stayed a consistent -4 to -5deg (acceptable) but distance ratio only 0.84 (16% short) across repeated pixel remeasurements. Investigating further found Headington Quarry Nursery School and Headington Quarry CE First School share the EXACT SAME lat/lon in this project's schools table to 15 decimal places - strong evidence this is a shared postcode centroid, not a per-school precise coordinate, making it an unreliable anchor point for pixel-level work (same imprecision class already documented for hospitals/college campuses). Left undone rather than forced; needs a landmark pair that avoids both the Quarry marker and any hospital on this map next session
3213	123142	New Hinksey Church of England Primary School	Primary	51.73818265979057	-1.2558890012533674	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
3216	123143	St Michael's CofE Primary School, Oxford City	Primary	51.75866627732957	-1.2351090369459665	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
3237	144584	North Hinksey Church of England Primary School	Primary	51.746470830825395	-1.2860548484098855	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
3238	123157	Radley Church of England Primary School	Primary	51.69075705168267	-1.2451654484819175	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3244	145650	St Nicholas' Church of England Infants' School and Nursery Class, Wallingford	Primary	51.6053513708751	-1.132464332604936	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3247	123166	St Nicolas Church of England Primary School, Abingdon	Primary	51.67711915300973	-1.2842819421529805	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (fake-grid backlog batch): White Horse Leisure Centre + New Culham Bridge (2152px/1976m baseline), rotation -1.50deg, own marker/DB coord cross-check -1.32deg/1.023 ratio and independent Dunmore Primary School cross-check -2.09deg bearing (1.169 distance ratio) both confirm; a short-baseline Abingdon Lock cross-check (826px) gave a spurious 14.46deg residual consistent with this project's documented short-baseline noise pattern, not trusted over the two longer, cleaner checks
3253	150520	St Francis Church of England Primary School	Primary	51.737327736843795	-1.200973579013138	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (fake-grid backlog batch): re-attempted with Slade Park Fire Station (Overpass amenity=fire_station) + a real Cowley Junction road junction (Garsington Road/A4142 Eastern Bypass, Overpass average of a tight cluster of 6 sub-way nodes) as the two independent anchors instead of the previously-tried Driftway Centre cross-check (2291px/1528m baseline), rotation -0.25deg, own marker/DB coord cross-check 1.04deg/1.031 ratio - an exceptionally clean result once Overpass recovered from this session's earlier intermittent 504s
3258	123177	St Swithun's CofE Primary School	Primary	51.713684560176546	-1.2465063892333799	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3302	142191	Bishop Carpenter Church of England Primary School	Primary	52.05564168976276	-1.3895593083856759	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3351	144525	Bishop Loveday Church of England Primary School	Primary	52.041181850510114	-1.3294837407502191	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3408	123183	Great Rollright Church of England (Aided) Primary School	Primary	51.98115135550859	-1.525966700628091	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3420	141150	Holy Trinity Catholic School, Chipping Norton	Primary	51.94386367721326	-1.5388709448352127	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3452	144530	Deddington Church of England Primary School	Primary	51.98332174402147	-1.3224702620600624	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3453	147716	Christopher Rawlins Church of England Primary School	Primary	52.01916769591794	-1.309979538194813	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3500	123187	Kirtlington Church of England Primary School	Primary	51.874119492841096	-1.2745069857226476	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3505	123188	St Edburg's Church of England (VA) School	Primary	51.8919619794653	-1.167791371647311	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3550	141833	St Peter's Church of England School, Alvescot	Primary	51.7387138042862	-1.6076796183853093	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3555	141816	St Christopher's Church of England School	Primary	51.720752254161305	-1.6483540528467835	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3556	139532	St Joseph's Catholic Primary School, Carterton	Primary	51.759972468099434	-1.6007437423193065	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3605	142377	The Batt Church of England Primary School	Primary	51.78425649971828	-1.4868905352014394	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3651	140915	St Peter's Church of England Primary School, Cassington	Primary	51.793283727470936	-1.3423722732548045	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3655	143888	Dr South's Church of England Primary School	Primary	51.824508046644965	-1.239145733987821	declined_or_open	Dr South's CE Primary (Islip) - monochrome scanned OS map, no colour channel isolates the boundary line
3752	123197	Ewelme CofE Primary School	Primary	51.61766362575475	-1.0694136519918442	declined_or_open	Ewelme CofE Primary - PDF is page 8 of a 9-page admissions doc showing 4 separate parish polygons, ambiguous which is the actual designated area
3755	123198	Little Milton Church of England Primary School	Primary	51.700324354016495	-1.1067452361858205	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3801	123200	Checkendon Church of England (A) Primary School	Primary	51.54258213798615	-1.0446001591237217	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3803	123201	Goring Church of England Aided Primary School	Primary	51.528203609956634	-1.1312641157869405	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3810	123203	Shiplake Church of England School	Primary	51.50075964141253	-0.9054251471447141	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3820	123204	Sacred Heart Catholic Primary School, Henley-on-Thames	Primary	51.532763212524564	-0.908507250100954	declined_or_open	Sacred Heart Catholic Primary (Henley) - Catholic parish boundary map with written text description, not a traced polygon
3822	139527	Our Lady of Lourdes Catholic Primary School, Witney	Primary	51.78213625900112	-1.5040488065338866	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3823	139530	St Thomas More Catholic Primary School, Kidlington	Primary	51.81600009466813	-1.28315809506686	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3824	151182	St Mary's Catholic Primary School, Bicester	Primary	51.900516339337486	-1.1582151540861325	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3825	141155	St Joseph's Catholic Primary School, Banbury	Primary	52.06145598633471	-1.3602199817403986	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3826	139529	St Joseph's Catholic Primary School, Thame	Primary	51.74892982389799	-0.9825864202814957	declined_or_open	St Joseph's Catholic Primary (Thame) - same written parish-boundary-description document type as Sacred Heart Henley
3828	144186	Dr Radcliffe's Church of England Primary School	Primary	51.93236596543319	-1.30934772596074	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3832	123211	St Barnabas' Church of England Aided Primary School	Primary	51.759275557326454	-1.2672493949333141	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
3833	123212	St Ebbe's Church of England Aided Primary School	Primary	51.744902987938296	-1.2607756819159515	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
3834	123213	St Mary and St John Church of England Primary School	Primary	51.74038507492589	-1.2417466283028855	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
3835	123214	St Philip and James' Church of England Aided Primary School Oxford	Primary	51.76789227347351	-1.2720950231070136	done	done via long-baseline landmark-pair scaling, 2026-08-10 session - first school landed from the North Oxford (Summertown/Walton Manor/Park Town) landmark set, distinct from the Cowley/East Oxford and Banbury clusters used elsewhere. Anchored on Wolfson College + St Hugh's College building footprints (Nominatim university campus centroids, 1058px/826m baseline), rotation -5.28deg, DB coord cross-check -6.07deg/1.059 ratio - bearing a little over this project's usual ~5deg comfort threshold (plausibly because the Nominatim campus centroid isn't a precise match to the single building drawn on the map, the same class of imprecision documented for hospitals), but distance ratio strong and DB coordinate falls solidly inside the polygon - accepted on the same basis as the existing Longfields precedent
3836	139477	Our Lady's Roman Catholic Primary School	Primary	51.73360580161296	-1.2116969357769063	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3837	137910	Hanwell Fields Community School	Primary	52.078109652158666	-1.34598854528193	done	done via long-baseline landmark-pair scaling, 2026-08-10 session - same landmark pair as Hardwick Primary School and Nursery (both schools' maps cover the same Ruscote/Hardwick estate): "The Nutshell" roundabout + Lord Fielding Close roundabout, reused by real-world coordinate only (re-measured pixel positions fresh on this file's own render, since each PDF has independent scale/extent), 1772px/1188m baseline, rotation -2.63deg, DB coord cross-check 0.48deg/0.986 ratio - excellent
3838	123216	St Joseph's Catholic Primary School, Oxford	Primary	51.76428231387337	-1.2276964998013316	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3839	139480	St John Fisher Catholic Primary School, Littlemore	Primary	51.72363832421205	-1.2095972867481821	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3842	123218	St Aloysius' Catholic Primary School	Primary	51.767126502293294	-1.2660644632589881	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3850	123219	Appleton Church of England (A) Primary School	Primary	51.71169166951858	-1.3592305784893288	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3851	149419	Ashbury With Compton Beauchamp Church of England Primary School	Primary	51.56402797729595	-1.620364225016893	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3852	144688	Northbourne Church of England Primary School	Primary	51.59829958791398	-1.2481713442198032	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3855	123224	St Amand's Catholic Primary School	Primary	51.592492550848974	-1.336440089519293	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3856	123225	St Edmund's Catholic Primary School	Primary	51.67534713188458	-1.2724510400375895	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
